City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
234,Jacareacanga,BR,93.2,few clouds,-6.22,-57.75,Casa do Ian😎
235,Matamoros,MX,73.0,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
237,Owando,CG,81.64,scattered clouds,-0.48,15.9,Exaunel Hotel Owando
238,Khorramshahr,IR,53.6,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
239,Lashio,MM,52.7,clear sky,22.93,97.75,Hotel CF Lashio - Burmese Only
241,Port Lincoln,AU,61.41,broken clouds,-34.73,135.87,Port Lincoln Hotel
242,Mastic Beach,US,46.4,broken clouds,40.77,-72.85,Brushwood House by Smith Point Beach
244,Mizdah,LY,50.67,overcast clouds,31.45,12.98,محمدالمبروك الاريقط
246,Napoleon,US,43.0,mist,41.39,-84.13,Napoleon Inn & Suites
247,Kerman,IR,32.0,broken clouds,30.28,57.08,Kerman Hotel
248,Betul,IN,62.58,clear sky,21.92,77.9,STARiHotel Betul MP
250,Ati,TD,76.48,clear sky,13.22,18.34,
252,Byron Bay,AU,72.0,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
254,Chuy,UY,85.19,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
256,Urucara,BR,89.33,broken clouds,-2.54,-57.76,Hotel Pousada Maria Bonita
258,Sorong,ID,73.78,scattered clouds,-0.88,131.25,The Waigo Hotel
264,Kavaratti,IN,81.46,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
265,Puerto Escondido,MX,91.4,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
268,Mandera,KE,81.0,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
270,Camapua,BR,88.25,scattered clouds,-19.53,-54.04,Comercial Estrela
273,Saldanha,ZA,71.6,few clouds,-33.01,17.94,Blue Bay Lodge
275,Touros,BR,87.8,few clouds,-5.2,-35.46,INN NEW HORIZON
276,Mecca,SA,70.57,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
278,Gerzat,FR,50.0,overcast clouds,45.82,3.14,Hotel Novotel Clermont Ferrand
281,Westport,US,46.4,overcast clouds,41.14,-73.36,The Westport Inn
282,Hope,US,60.01,overcast clouds,33.67,-93.59,Best Western Hope
284,Olinda,BR,86.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
285,Arraial Do Cabo,BR,84.2,overcast clouds,-22.97,-42.03,Pousada Porto Praia
286,Kodiak,US,30.2,clear sky,57.79,-152.41,Mission Lake Bed and Breakfast
287,Grong,NO,41.0,few clouds,64.47,12.31,Grong Farm and Guesthouse
289,Ancud,CL,59.0,scattered clouds,-41.87,-73.82,HOTEL ANCUD DON LUCAS
290,Les Cayes,HT,79.5,clear sky,18.2,-73.75,Villa Orphee
291,Coolum Beach,AU,70.0,broken clouds,-26.53,153.1,Coolum Beach Resort
292,Nacozari,MX,78.01,broken clouds,25.34,-108.26,
293,Port Blair,IN,79.07,few clouds,11.67,92.75,Fortune Resort Bay Island
294,Hasaki,JP,45.0,shower rain,35.73,140.83,Inubosaki Kanko Hotel
296,Aguada De Pasajeros,CU,87.8,few clouds,22.39,-80.85,Soles de Marti
299,Wattegama,LK,73.4,broken clouds,6.8,81.48,
300,Yuzhou,CN,30.2,haze,34.16,113.46,Hancheng Wen Yuan Ge Hotel
301,San Quintin,MX,59.63,broken clouds,30.48,-115.95,Old Mill Hotel
303,Lenine,UA,42.26,overcast clouds,45.3,35.78,Vostok
305,Bafra,TR,44.6,overcast clouds,41.57,35.91,Sevgi Otel
308,Matadi,CD,81.36,overcast clouds,-5.82,13.45,Hotel Fortune
310,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
311,Bom Jesus,BR,91.47,broken clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
313,Sao Filipe,CV,71.11,overcast clouds,14.9,-24.5,Tortuga B&B
315,Honiara,SB,80.6,shower rain,-9.43,159.95,Heritage Park Hotel
316,Tromso,NO,33.8,overcast clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
317,Sola,VU,80.6,overcast clouds,-13.88,167.55,Leumerus Bungalows
318,Mbaiki,CF,80.6,clear sky,3.87,17.99,
321,Sao Joao Da Barra,BR,82.4,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
322,Broome,US,46.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
323,Arrecife,ES,66.2,clear sky,28.96,-13.55,Hotel Lancelot
324,Batticaloa,LK,67.98,broken clouds,7.71,81.69,Treatooo City Hotel Batticaloa
325,Kununurra,AU,82.4,scattered clouds,-15.77,128.73,Hotel Kununurra
328,Warangal,IN,68.67,clear sky,18.0,79.58,OYO 46557 Hotel Dolphin
329,Jati,PK,57.7,clear sky,24.35,68.27,Muhammad Khuzaima Traders
331,Pedernales,DO,84.2,broken clouds,18.04,-71.74,Hotel Costa Marina
332,Banda Aceh,ID,72.1,clear sky,5.56,95.32,OYO 884 Rumoh PMI Hotel
333,Tefe,BR,87.8,broken clouds,-3.35,-64.71,Aracati Hotel
335,Lukulu,ZM,72.28,overcast clouds,-14.37,23.24,Ruth Guest House
