City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
76,Poum,NC,2020-01-14 19:23:39,-20.23,164.02,Clouds,overcast clouds,79.93,79,100,21.81,0.0,0.0
77,Ushuaia,AR,2020-01-14 19:23:39,-54.8,-68.3,Rain,shower rain,50.0,71,75,4.7,0.0,0.0
78,Mumford,GH,2020-01-14 19:23:39,5.26,-0.76,Rain,light rain,82.69,69,40,6.98,0.56,0.0
79,Ceres,US,2020-01-14 19:23:40,37.59,-120.96,Rain,light rain,55.0,62,1,10.29,0.56,0.0
80,Tasiilaq,GL,2020-01-14 19:23:40,65.61,-37.64,Clouds,broken clouds,17.6,57,75,3.36,0.0,0.0
81,Hermanus,ZA,2020-01-14 19:19:38,-34.42,19.23,Clear,clear sky,78.01,85,0,4.0,0.0,0.0
82,Bertoua,CM,2020-01-14 19:23:40,4.58,13.68,Clear,clear sky,79.02,28,0,2.13,0.0,0.0
83,Veraval,IN,2020-01-14 19:23:41,20.9,70.37,Clear,clear sky,58.48,72,9,8.86,0.0,0.0
84,Nikolayevka,RU,2020-01-14 19:23:41,53.13,47.2,Clouds,overcast clouds,25.21,93,93,9.08,0.0,0.0
85,East London,ZA,2020-01-14 19:23:41,-33.02,27.91,Clouds,scattered clouds,77.0,88,40,11.41,0.0,0.0
86,Rio Gallegos,AR,2020-01-14 19:21:05,-51.62,-69.22,Clouds,scattered clouds,57.2,47,40,18.34,0.0,0.0
87,Volsk,RU,2020-01-14 19:23:42,52.03,47.38,Clouds,broken clouds,24.78,90,52,6.24,0.0,0.0
88,Vardo,NO,2020-01-14 19:23:42,70.37,31.11,Snow,light shower snow,26.6,73,75,20.8,0.0,0.0
89,Mikhaylovka,RU,2020-01-14 19:23:42,50.06,43.24,Clouds,broken clouds,30.0,91,67,1.54,0.0,0.0
90,Rocha,UY,2020-01-14 19:23:42,-34.48,-54.33,Clouds,scattered clouds,95.29,24,28,13.42,0.0,0.0
91,Mataura,NZ,2020-01-14 19:23:42,-46.19,168.86,Clouds,overcast clouds,51.01,95,92,1.99,0.0,0.0
92,Maniitsoq,GL,2020-01-14 19:23:43,65.42,-52.9,Snow,light snow,8.62,89,100,6.46,0.0,1.06
93,Conde,BR,2020-01-14 19:23:43,-7.26,-34.91,Clouds,few clouds,87.8,43,20,13.87,0.0,0.0
94,Carnarvon,AU,2020-01-14 19:23:43,-24.87,113.63,Rain,light rain,75.52,91,100,4.92,1.56,0.0
95,Butaritari,KI,2020-01-14 19:23:43,3.07,172.79,Clouds,overcast clouds,84.11,79,99,17.31,0.0,0.0
96,Port Elizabeth,ZA,2020-01-14 19:23:44,-33.92,25.57,Clouds,broken clouds,73.4,88,75,14.99,0.0,0.0
97,Aksay,RU,2020-01-14 19:22:41,47.26,39.87,Rain,light rain,33.8,100,90,6.71,0.0,0.0
98,Qaqortoq,GL,2020-01-14 19:23:44,60.72,-46.03,Clouds,broken clouds,12.2,61,75,4.7,0.0,0.0
99,Sangar,RU,2020-01-14 19:23:44,63.92,127.47,Clouds,overcast clouds,-22.81,96,98,3.85,0.0,0.0
100,Busselton,AU,2020-01-14 19:23:45,-33.65,115.33,Clear,clear sky,62.01,44,0,15.64,0.0,0.0
101,Souillac,MU,2020-01-14 19:23:45,-20.52,57.52,Rain,shower rain,81.0,83,40,4.7,0.0,0.0
102,Zhigalovo,RU,2020-01-14 19:23:45,54.81,105.16,Clouds,overcast clouds,-2.6,95,98,1.83,0.0,0.0
103,San Cristobal,VE,2020-01-14 19:23:45,7.77,-72.22,Clouds,scattered clouds,84.2,54,40,12.75,0.0,0.0
104,Chifeng,CN,2020-01-14 19:23:46,42.27,118.96,Clouds,broken clouds,8.46,60,81,3.36,0.0,0.0
105,Oranjestad,AW,2020-01-14 19:23:23,12.52,-70.03,Clouds,few clouds,84.2,66,20,20.8,0.0,0.0
106,Tuktoyaktuk,CA,2020-01-14 19:23:46,69.45,-133.04,Clear,clear sky,-14.8,68,5,8.05,0.0,0.0
107,Innoshima,JP,2020-01-14 19:23:47,34.28,133.18,Clouds,broken clouds,43.0,95,69,4.29,0.0,0.0
