City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Klaksvik,FO,2020-01-07 20:45:49,62.23,-6.59,39.2,69,98,38.03
102,San Patricio,PY,2020-01-07 20:45:49,-26.98,-56.83,91.15,29,0,6.46
103,Okhotsk,RU,2020-01-07 20:45:50,59.36,143.24,-5.51,74,100,7.74
104,Nouadhibou,MR,2020-01-07 20:45:50,20.93,-17.03,66.2,48,64,10.29
105,Sovetskiy,RU,2020-01-07 20:45:50,56.76,48.47,10.17,98,89,6.22
106,Ilo,PE,2020-01-07 20:45:50,-17.65,-71.34,78.8,69,14,13.87
107,Tromso,NO,2020-01-07 20:45:50,69.65,18.96,41.0,60,100,16.11
108,Maceio,BR,2020-01-07 20:44:20,-9.67,-35.74,82.4,65,20,16.11
109,Shelby,US,2020-01-07 20:45:51,48.51,-111.86,28.4,100,90,12.75
110,Palu,ID,2020-01-07 20:45:51,-0.9,119.87,66.51,98,100,2.13
111,Luderitz,NA,2020-01-07 20:45:52,-26.65,15.16,66.2,82,54,2.24
112,Hilo,US,2020-01-07 20:45:52,19.71,-155.08,78.8,69,90,6.93
113,Beringovskiy,RU,2020-01-07 20:45:52,63.05,179.32,-5.91,99,96,7.14
114,Monrovia,LR,2020-01-07 20:45:52,6.33,-10.8,78.8,88,20,9.01
115,Ilulissat,GL,2020-01-07 20:45:52,69.22,-51.1,-2.2,40,20,12.75
116,Opuwo,NA,2020-01-07 20:45:53,-18.06,13.84,69.93,56,1,11.74
117,Dingle,PH,2020-01-07 20:45:53,11.0,122.67,73.33,90,100,8.08
118,Chapais,CA,2020-01-07 20:45:53,49.78,-74.86,12.2,78,90,11.41
119,Dunedin,NZ,2020-01-07 20:45:53,-45.87,170.5,51.19,70,56,13.27
120,Peniche,PT,2020-01-07 20:45:54,39.36,-9.38,50.0,93,0,2.24
121,Rocha,UY,2020-01-07 20:45:54,-34.48,-54.34,77.47,23,0,9.78
122,Georgetown,GY,2020-01-07 20:42:29,6.8,-58.16,86.0,78,75,9.17
123,Los Llanos De Aridane,ES,2020-01-07 20:45:55,28.66,-17.92,66.2,59,40,6.93
124,Mersing,MY,2020-01-07 20:45:55,2.43,103.84,80.02,83,93,15.99
125,Yellowknife,CA,2020-01-07 20:45:56,62.45,-114.38,-29.2,66,40,3.36
126,Zarubino,RU,2020-01-07 20:45:56,42.65,131.06,29.34,94,100,23.78
127,Neiafu,TO,2020-01-07 20:45:56,-18.65,-173.98,84.2,79,20,6.93
128,East London,ZA,2020-01-07 20:45:56,-33.02,27.91,73.2,90,100,16.6
129,Scobinti,RO,2020-01-07 20:45:56,47.38,26.93,25.0,79,0,4.7
130,Hami,CN,2020-01-07 20:45:57,42.84,93.51,15.13,53,0,2.73
131,Kaitangata,NZ,2020-01-07 20:45:57,-46.28,169.85,55.0,66,55,8.99
132,Avarua,CK,2020-01-07 20:45:34,-21.21,-159.78,82.4,78,36,10.29
133,Alofi,NU,2020-01-07 20:44:08,-19.06,-169.92,81.95,79,100,12.39
134,Aripuana,BR,2020-01-07 20:45:58,-9.17,-60.63,89.26,63,18,2.01
135,Nikolskoye,RU,2020-01-07 20:45:58,59.7,30.79,39.2,86,90,11.18
136,Aswan,EG,2020-01-07 20:45:58,24.09,32.9,52.61,48,0,12.44
137,Champerico,MX,2020-01-07 20:45:58,16.38,-93.6,78.8,54,75,9.17
138,Tasiilaq,GL,2020-01-07 20:45:58,65.61,-37.64,8.82,75,100,28.14
139,Gudari,IN,2020-01-07 20:45:59,19.34,83.79,57.47,83,0,0.76
140,Sioux Lookout,CA,2020-01-07 20:45:59,50.1,-91.92,1.4,70,75,16.11
141,Fortuna,US,2020-01-07 20:45:59,40.6,-124.16,55.0,62,90,6.93
142,Provideniya,RU,2020-01-07 20:46:00,64.42,-173.23,-12.57,93,0,1.21
143,Yarovoye,RU,2020-01-07 20:46:00,52.92,78.56,11.8,96,100,4.25
144,Kodiak,US,2020-01-07 20:46:01,39.95,-94.76,53.01,42,1,18.34
145,Berck,FR,2020-01-07 20:46:01,50.41,1.57,51.8,93,90,6.93
146,Ribeira Grande,PT,2020-01-07 20:46:01,38.52,-28.7,64.4,88,20,11.41
147,Lazaro Cardenas,MX,2020-01-07 20:46:01,28.39,-105.62,64.99,16,40,9.17
148,Togur,RU,2020-01-07 20:46:02,58.36,82.83,5.38,97,55,3.98
149,Saskylakh,RU,2020-01-07 20:46:02,71.97,114.09,-3.95,96,96,8.19
150,Khatanga,RU,2020-01-07 20:46:02,71.98,102.47,5.65,96,96,7.9
151,Haines Junction,CA,2020-01-07 20:46:02,60.75,-137.51,-7.8,98,100,5.82
152,Cabo San Lucas,MX,2020-01-07 20:43:56,22.89,-109.91,82.0,57,5,9.17
153,Manggar,ID,2020-01-07 20:46:03,-2.88,108.27,81.25,83,100,15.73
154,Mount Isa,AU,2020-01-07 20:46:03,-20.73,139.49,82.4,54,40,8.05
155,Constantine,DZ,2020-01-07 20:46:03,36.36,6.61,37.4,93,40,2.24
156,Naze,NG,2020-01-07 20:46:03,5.43,7.07,78.49,66,100,6.89
157,Victor Harbor,AU,2020-01-07 20:46:04,-35.55,138.62,78.01,58,56,14.99
158,Moree,AU,2020-01-07 20:46:04,-29.46,149.84,77.0,53,14,11.41
159,Saint-Philippe,CA,2020-01-07 20:46:04,45.36,-73.48,32.0,91,1,3.36
160,Qandala,SO,2020-01-07 20:46:04,11.47,49.87,75.9,72,74,5.84
161,Milkovo,BG,2020-01-07 20:46:05,41.53,24.68,37.99,64,20,6.93
162,Ugoofaaru,MV,2020-01-07 20:46:05,5.67,73.0,82.56,75,98,15.77
163,Boende,CD,2020-01-07 20:46:05,-0.28,20.88,79.75,65,85,2.89
164,Victoria,BN,2020-01-07 20:46:05,5.28,115.24,80.6,88,75,7.45
165,Yar-Sale,RU,2020-01-07 20:46:06,66.83,70.83,0.86,86,23,7.49
